"","fecha","desayuno","colacion1","comida","colacion2","cena","ejercicio"
"48","2018-08-16","claras2huevosMachaca","2salchichas","polloAsado","2salchichas","polloEmpanizado","caminadora3km20mins+pierna+bicep+hombro9"
"49","2018-08-17","multibran+lecheAlmendras","tamalChampinonesQueso","carneTampiquena+2enchiladas+2pan","fresas+quesoCottage","polloEmpanizado+ensalada+calabacitas",""
"50","2018-08-18","multibran+lecheAlmendras","panzerotto","hamburguesa+alitas+arosCebolla","2heladoCajeta","3panThins",""
"51","2018-08-19","multibran+lecheAlmendras","3panThins","pavoAsado+pasta+pretzels","","licuadoZarzamoraProteinaAvenaAlmendras+multibran",""
"52","2018-08-20","multibran+lecheAlmendras","1/2toronja+4almendras+1/2proteina","pavoAsado+pasta","1/2toronja+4almendras+1/2proteina","multibran+lecheAlmendras","bicep+tricep+caminadora1km10mins"
"53","2018-08-21","claras2huevosMachaca","2salchichas","pavoAsado+pasta","2salchichas","1pizza",""
"54","2018-08-22","multibran+lecheAlmendras","1/2toronja+4almendras","pozole+quesadillaCochinita","1/2toronja+4almendras+2chocorroles","multibran+lecheAlmendras","caminadora5km36mins+pierna"
"55","2018-08-23","claras2huevosMachaca","2salchichas+rufflesQueso","polloAsado+cheetos+chipsJalapeño+galletasEmperador","2multibran+lecheAlmendras","",""
"56","2018-08-24","2panTostadoMermelada","cheetos+galletasEmperador","2rebanadasPizza","3rebanadasPizza","",""
"57","2018-08-25","huevosJamon+carneCerdo+2waffles","5tartitasFrutas+galletas+2pan+lasagna+carne","","","",""
"58","2018-08-26","huevosJamon+4waffles","","hamburguesaTocinoQueso","2rufflesQueso+galletasEmperador","",""
"59","2018-08-27","multibranPasas+lecheAlmendras","mango+sandia+tuna+4almendras","sopaVerduras+tortitasCerdo+purePapa+ensalada+pan","mango+sandia+tuna+4almendras","ramenCerdo+yakimeshiArrachera+galletasemperador",""
"60","2018-08-28","","enchiladasSuizasCarneRes+pan+totopos","2salchichas","2salchichas","","caminadora2km13mins+pecho+espalda"
"61","2018-08-29","clarasMachaca","2peperami+60gCacahuates","polloAsado","","",""
"62","2018-08-30","clarasMachaca","2peperami+60gCacahuates","polloAsado","","",""
"63","2018-08-31","","mango?","birria+clamatoCerveza","mango?","3gringas+3cerveza","hombro+pierna"
"64","2018-09-01","","4tacosCanasta+panQuesoZarzamora","chileEnNogada+2pan","2cervezas+papasFritas","pozole",""
"65","2018-09-02","","","pizza","","",""
"66","2018-09-03","","mango+sandia+tuna+4almendras","milanesaRes+ensalada+papas","mango+sandia+tuna+4almendras","ordenQueMeVes",""
"67","2018-09-04","huevosTocino","peperami","polloAsado","peperami","multibranPasas+lecheAlmendras+cacahuatesJaponeses","bicep+tricep+caminadora2km13mins"
"68","2018-09-05","multibranPasas+cuernitoJamonQueso","1/2toronja","hamburguesa+papasFritas+rufflesQueso","1/2toronja","multibranPasas+lecheAlmendras","caminadora5km36mins"
"69","2018-09-06","licuadoFresas+multibranPasas+lecheAlmendras","1/2toronja","carneAsada+enmolada+arroz+aguaHorchata+cafeOlla","1/2toronja","hamburguesa+multibranPasas+lecheAlmendras","caminadora2km14mins+pecho+espalda"
"70","2018-09-07","multibranPasas+lecheAlmendras","2salchichas","2hamburguesasSinPan","","pasta+pizza+mordisko+panRellenoCrema",""
"71","2018-09-08","","rufflesQueso","2hamburguesas+papasFritas","hamburguesa","2hamburguesasSinPan","caminadora2km14mins+pierna+hombro"
"72","2018-09-09","","papas+panque","multibranPasas+lecheAlmendras","cecina+consome+panNutella+queso","cerealMiel",""
"73","2018-09-10","2mcmuffinHuevoSalchicha","cheetos+refrescoSinAzucar","milanesaCerdoQueso+rajas+chapiÃ±ones+pan+panDulce","chocorroles","chuleta","caminadora3km20mins+bicep+tricep"
